State,County,Year,Field,FieldName,FieldID,GridID,Grid_org,Transects_n,TransectID,Transect_R,Trans_A,Trans_B,Strategy,PNM,FP,Damage,Area_ac,PlotID,Trt_n,Treatment,Ref_block,RepRefB,Pt_NPass,Sd_NPass,Hybrid,Tile,PreCrop,Tillage,FNR_lbac,rExN_lbac,rStN_lbac,pPreN_lbac,rPreN_lbac,pSidN_lbac,SidN_lbac,rSdN_lbac,pTotN_lbac,rTN_lbac,rTotN_kgha,rYl15_buac,rY15_mtha
IN,White,22,CH,Carter Home,CH_22,50,1,1,8,0,na,na,PNM,1,0,0,0.21,8,5,120,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,180,218,0,0,0,210,248,278,189.9,11.9
IN,White,22,CH,Carter Home,CH_22,57,1,1,9,1,na,na,PNM,1,0,0,0.41,8,5,120,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,180,181,0,0,0,210,211,237,206,13
IN,White,22,CH,Carter Home,CH_22,69,1,1,11,1,na,na,PNM,1,0,0,0.41,8,5,120,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,180,180,0,0,0,210,210,236,214.1,13.5
IN,White,22,CH,Carter Home,CH_22,75,1,1,12,1,na,na,PNM,1,0,0,0.41,8,5,120,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,180,181,0,0,0,210,211,237,242.5,15.3
IN,White,22,CH,Carter Home,CH_22,87,1,1,14,1,na,na,PNM,1,0,0,0.41,8,5,120,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,180,166,0,0,0,210,196,221,231.8,14.6
IN,White,22,CH,Carter Home,CH_22,51,1,1,8,0,na,na,PNM,1,1,0,0.21,9,4,100,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,150,135,0,0,0,180,165,185,216,13.6
IN,White,22,CH,Carter Home,CH_22,53,1,1,9,1,na,na,PNM,1,1,0,0.41,9,4,100,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,150,151,0,0,0,180,181,203,183.5,11.5
IN,White,22,CH,Carter Home,CH_22,65,1,1,11,1,na,na,PNM,1,1,0,0.41,9,4,100,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,150,148,0,0,0,180,178,199,228.7,14.4
IN,White,22,CH,Carter Home,CH_22,74,1,1,12,1,na,na,PNM,1,1,0,0.41,9,4,100,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,150,149,0,0,0,180,179,201,231.2,14.5
IN,White,22,CH,Carter Home,CH_22,86,1,1,14,1,na,na,PNM,1,1,0,0.41,9,4,100,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,150,156,0,0,0,180,186,209,230.7,14.5
IN,White,22,CH,Carter Home,CH_22,48,1,1,8,0,na,na,PNM,1,0,1,0.21,10,2,60,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,90,102,60,58,57,180,189,212,224.8,14.1
IN,White,22,CH,Carter Home,CH_22,55,1,1,9,1,na,na,PNM,1,0,1,0.41,10,2,60,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,90,90,60,60,61,180,180,202,206.1,13
IN,White,22,CH,Carter Home,CH_22,68,1,1,11,1,na,na,PNM,1,0,1,0.41,10,2,60,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,90,91,60,60,60,180,180,202,240.6,15.1
IN,White,22,CH,Carter Home,CH_22,72,1,1,12,1,na,na,PNM,1,0,1,0.41,10,2,60,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,90,90,60,59,59,180,179,201,210.1,13.2
IN,White,22,CH,Carter Home,CH_22,84,1,1,14,1,na,na,PNM,1,0,1,0.41,10,2,60,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,90,86,60,58,59,180,175,197,219,13.8
IN,White,22,CH,Carter Home,CH_22,46,1,1,8,0,na,na,PNM,1,0,0,0.22,11,3,80,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,120,120,39,44,37,189,187,210,239.1,15
IN,White,22,CH,Carter Home,CH_22,54,1,1,9,1,na,na,PNM,1,0,0,0.41,11,3,80,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,120,120,30,29,28,180,179,201,221.2,13.9
IN,White,22,CH,Carter Home,CH_22,66,1,1,11,1,na,na,PNM,1,0,0,0.41,11,3,80,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,120,120,30,30,30,180,180,202,239,15
IN,White,22,CH,Carter Home,CH_22,71,1,1,12,1,na,na,PNM,1,0,0,0.41,11,3,80,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,120,121,30,30,30,180,180,202,214.5,13.5
IN,White,22,CH,Carter Home,CH_22,83,1,1,14,1,na,na,PNM,1,0,0,0.41,11,3,80,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,120,124,30,30,30,180,184,207,208.1,13.1
IN,White,22,CH,Carter Home,CH_22,47,1,1,8,0,na,na,GR,0,0,1,0.22,12,8,40GR,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,59,116,117,118,206,207,233,225.4,14.2
IN,White,22,CH,Carter Home,CH_22,52,1,1,9,1,na,na,GR,0,0,0,0.41,12,8,40GR,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,60,116,117,117,206,207,232,244.3,15.4
IN,White,22,CH,Carter Home,CH_22,64,1,1,11,1,na,na,GR,0,0,0,0.41,12,8,40GR,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,59,93,92,92,183,181,204,228.7,14.4
IN,White,22,CH,Carter Home,CH_22,70,1,1,12,1,na,na,GR,0,0,0,0.41,12,8,40GR,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,59,93,93,92,183,181,203,221.5,13.9
IN,White,22,CH,Carter Home,CH_22,82,1,1,14,1,na,na,GR,0,0,0,0.41,12,8,40GR,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,58,96,93,93,186,181,204,216.4,13.6
IN,White,22,CH,Carter Home,CH_22,91,1,1,15,0,na,na,PNM,1,1,0,0.22,13,4,100,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,150,140,0,0,0,180,170,191,227.4,14.3
IN,White,22,CH,Carter Home,CH_22,98,1,1,16,1,na,na,PNM,1,1,0,0.41,13,4,100,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,150,150,0,0,0,180,180,202,229.9,14.5
IN,White,22,CH,Carter Home,CH_22,110,1,1,18,1,na,na,PNM,1,1,0,0.41,13,4,100,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,150,152,0,0,0,180,182,204,222,14
IN,White,22,CH,Carter Home,CH_22,116,1,1,19,1,na,na,PNM,1,1,0,0.41,13,4,100,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,150,148,0,0,0,180,178,200,229.1,14.4
IN,White,22,CH,Carter Home,CH_22,127,1,1,21,0,na,na,PNM,1,1,0,0.41,13,4,100,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,150,151,0,0,0,180,181,203,218.1,13.7
IN,White,22,CH,Carter Home,CH_22,92,1,1,15,0,na,na,PNM,1,0,1,0.22,14,1,40,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,60,90,88,89,180,179,201,222.6,14
IN,White,22,CH,Carter Home,CH_22,99,1,1,16,1,na,na,PNM,1,0,0,0.41,14,1,40,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,60,90,90,89,180,179,201,174.4,11
IN,White,22,CH,Carter Home,CH_22,109,1,1,18,1,na,na,PNM,1,0,1,0.41,14,1,40,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,60,90,89,89,180,179,201,220.4,13.9
IN,White,22,CH,Carter Home,CH_22,117,1,1,19,1,na,na,PNM,1,0,1,0.41,14,1,40,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,59,90,91,95,180,183,206,222.5,14
IN,White,22,CH,Carter Home,CH_22,129,1,1,21,0,na,na,PNM,1,0,1,0.41,14,1,40,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,58,90,93,91,180,180,202,227.7,14.3
IN,White,22,CH,Carter Home,CH_22,93,1,1,15,0,na,na,GR,0,0,0,0.22,15,8,40GR,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,60,116,98,98,206,188,211,243,15.3
IN,White,22,CH,Carter Home,CH_22,97,1,1,16,1,na,na,GR,0,0,0,0.41,15,8,40GR,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,59,116,107,107,206,196,220,194.5,12.2
IN,White,22,CH,Carter Home,CH_22,111,1,1,18,1,na,na,GR,0,0,0,0.41,15,8,40GR,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,60,96,97,99,186,189,212,226.9,14.3
IN,White,22,CH,Carter Home,CH_22,115,1,1,19,1,na,na,GR,0,0,0,0.41,15,8,40GR,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,59,116,114,115,206,205,230,220.4,13.9
IN,White,22,CH,Carter Home,CH_22,128,1,1,21,0,na,na,GR,0,0,0,0.41,15,8,40GR,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,61,116,120,120,206,211,237,240.5,15.1
IN,White,22,CH,Carter Home,CH_22,90,1,1,15,0,na,na,PNM,1,0,0,0.22,16,2,60,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,90,89,60,63,63,180,182,204,239.8,15.1
IN,White,22,CH,Carter Home,CH_22,96,1,1,16,1,na,na,PNM,1,0,0,0.41,16,2,60,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,90,89,60,59,58,180,177,198,203.7,12.8
IN,White,22,CH,Carter Home,CH_22,108,1,1,18,1,na,na,PNM,1,0,0,0.41,16,2,60,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,90,90,60,64,65,180,185,208,201.8,12.7
IN,White,22,CH,Carter Home,CH_22,114,1,1,19,1,na,na,PNM,1,0,0,0.41,16,2,60,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,90,92,60,54,54,180,175,197,229.3,14.4
IN,White,22,CH,Carter Home,CH_22,126,1,1,21,0,na,na,PNM,1,0,0,0.41,16,2,60,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,90,88,69,40,40,189,159,178,235.2,14.8
IN,White,22,CH,Carter Home,CH_22,89,1,1,15,0,na,na,PNM,1,0,0,0.22,17,5,120,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,180,163,0,0,0,210,193,217,218,13.7
IN,White,22,CH,Carter Home,CH_22,95,1,1,16,1,na,na,PNM,1,0,0,0.41,17,5,120,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,180,180,0,0,0,210,210,236,224.1,14.1
IN,White,22,CH,Carter Home,CH_22,107,1,1,18,1,na,na,PNM,1,0,0,0.41,17,5,120,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,180,179,0,0,0,210,209,235,195.3,12.3
IN,White,22,CH,Carter Home,CH_22,113,1,1,19,1,na,na,PNM,1,0,0,0.41,17,5,120,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,180,179,0,0,0,210,209,234,238.9,15
IN,White,22,CH,Carter Home,CH_22,125,1,1,21,0,na,na,PNM,1,0,0,0.41,17,5,120,0,0,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,180,186,0,0,0,210,216,242,262,16.5
IN,White,22,CH,Carter Home,CH_22,88,1,1,15,0,na,na,PNM,1,0,1,0.22,18,3,80,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,120,133,24,25,25,174,187,210,234.4,14.7
IN,White,22,CH,Carter Home,CH_22,94,1,1,16,1,na,na,PNM,1,0,0,0.41,18,3,80,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,120,122,30,30,30,180,182,204,228.5,14.4
IN,White,22,CH,Carter Home,CH_22,106,1,1,18,1,na,na,PNM,1,0,1,0.41,18,3,80,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,120,121,30,29,29,180,180,202,206.3,13
IN,White,22,CH,Carter Home,CH_22,112,1,1,19,1,na,na,PNM,1,0,1,0.41,18,3,80,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,120,121,30,30,29,180,180,202,238,15
IN,White,22,CH,Carter Home,CH_22,124,1,1,21,0,na,na,PNM,1,0,0,0.41,18,3,80,0,0,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,120,116,30,41,48,180,195,219,247.9,15.6
IN,White,22,CH,Carter Home,CH_22,36,1,1,6,1,na,na,Control,0,0,0,0.28,1,1,40,1,1,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,60,60,0,0,0,90,90,101,222.2,14
IN,White,22,CH,Carter Home,CH_22,39,1,1,6,1,na,na,Control,0,0,1,0.28,2,3,80,1,1,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,120,121,0,0,0,150,151,169,227.9,14.3
IN,White,22,CH,Carter Home,CH_22,38,1,1,6,1,na,na,Control,0,0,0,0.28,3,2,60,1,1,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,90,89,0,0,0,120,119,133,228.2,14.4
IN,White,22,CH,Carter Home,CH_22,37,1,1,6,1,na,na,Control,0,0,0,0.28,4,1,40,1,1,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,60,60,0,0,0,90,90,101,222.7,14
IN,White,22,CH,Carter Home,CH_22,35,1,1,6,1,na,na,Control,0,0,0,0.28,5,5,120,1,1,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,180,179,0,0,0,210,209,235,243.2,15.3
IN,White,22,CH,Carter Home,CH_22,34,1,1,6,1,na,na,Control,0,0,1,0.28,6,4,100,1,1,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,150,149,0,0,0,180,179,201,210.1,13.2
IN,White,22,CH,Carter Home,CH_22,78,1,1,13,1,na,na,Control,0,0,0,0.28,7,1,40,1,2,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,60,61,0,0,0,90,91,102,207.5,13
IN,White,22,CH,Carter Home,CH_22,81,1,1,13,1,na,na,Control,0,0,0,0.28,8,5,120,1,2,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,180,176,0,0,0,210,206,232,225.7,14.2
IN,White,22,CH,Carter Home,CH_22,80,1,1,13,1,na,na,Control,0,0,0,0.28,9,4,100,1,2,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,150,149,0,0,0,180,179,201,215.9,13.6
IN,White,22,CH,Carter Home,CH_22,79,1,1,13,1,na,na,Control,0,0,1,0.28,10,2,60,1,2,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,90,90,0,0,0,120,120,135,218.6,13.8
IN,White,22,CH,Carter Home,CH_22,77,1,1,13,1,na,na,Control,0,0,0,0.28,11,3,80,1,2,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,120,121,0,0,0,150,151,170,234.5,14.7
IN,White,22,CH,Carter Home,CH_22,76,1,1,13,1,na,na,Control,0,0,0,0.28,12,1,40,1,2,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,60,60,0,0,0,90,90,101,219.1,13.8
IN,White,22,CH,Carter Home,CH_22,122,1,1,20,1,na,na,Control,0,0,0,0.28,13,4,100,1,3,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,150,147,0,0,0,180,177,199,214.5,13.5
IN,White,22,CH,Carter Home,CH_22,123,1,1,20,1,na,na,Control,0,0,1,0.28,14,1,40,1,3,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,60,59,0,0,0,90,89,100,199.2,12.5
IN,White,22,CH,Carter Home,CH_22,121,1,1,20,1,na,na,Control,0,0,0,0.28,15,1,40,1,3,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,60,59,0,0,0,90,89,100,204.5,12.9
IN,White,22,CH,Carter Home,CH_22,120,1,1,20,1,na,na,Control,0,0,0,0.28,16,2,60,1,3,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,90,92,0,0,0,120,122,137,201.4,12.7
IN,White,22,CH,Carter Home,CH_22,119,1,1,20,1,na,na,Control,0,0,0,0.28,17,5,120,1,3,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,180,178,0,0,0,210,208,234,232.3,14.6
IN,White,22,CH,Carter Home,CH_22,118,1,1,20,1,na,na,Control,0,0,1,0.28,18,3,80,1,3,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,120,118,0,0,0,150,148,166,241.2,15.2
IN,White,22,CH,Carter Home,CH_22,21,1,1,3,1,na,na,GR,0,0,0,0.41,1,8,40GR,2,1,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,59,116,116,116,206,205,230,243.3,15.3
IN,White,22,CH,Carter Home,CH_22,19,1,1,3,1,na,na,PNM,1,0,0,0.41,2,3,80,2,1,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,120,120,30,30,30,180,180,202,235.9,14.8
IN,White,22,CH,Carter Home,CH_22,18,1,1,3,1,na,na,PNM,1,0,0,0.41,3,2,60,2,1,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,90,91,60,60,60,180,181,203,242.5,15.3
IN,White,22,CH,Carter Home,CH_22,20,1,1,3,1,na,na,PNM,1,0,0,0.41,4,1,40,2,1,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,59,90,88,89,180,178,200,233.5,14.7
IN,White,22,CH,Carter Home,CH_22,16,1,1,3,1,na,na,PNM,1,0,0,0.41,5,5,120,2,1,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,180,177,0,0,0,210,207,233,234.2,14.7
IN,White,22,CH,Carter Home,CH_22,17,1,1,3,1,na,na,PNM,1,1,1,0.41,6,4,100,2,1,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,150,151,0,0,0,180,181,203,218.9,13.8
IN,White,22,CH,Carter Home,CH_22,63,1,1,10,1,na,na,PNM,1,0,0,0.41,7,1,40,2,2,1,1,DKC 62-51,0,Soybean,Conventional,150,30,0,60,60,90,89,89,180,180,202,221.1,13.9
IN,White,22,CH,Carter Home,CH_22,62,1,1,10,1,na,na,PNM,1,0,0,0.41,8,5,120,2,2,1,0,DKC 62-51,0,Soybean,Conventional,150,30,0,180,178,0,0,0,210,208,234,217.6,13.7
